"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","754","should go to Checkout screen","","Thu Mar 20 08:33:34 ICT 2025","passed","Thu Mar 20 08:33:35 ICT 2025","","Home screen @home-screen @smoke","",""
"","2694","Verify displayed errors @regression","","Thu Mar 20 08:31:54 ICT 2025","passed","Thu Mar 20 08:31:57 ICT 2025","","Checkout - Personal info @personal-info","",""
"","175","should go to Checkout screen","","Thu Mar 20 08:33:08 ICT 2025","passed","Thu Mar 20 08:33:08 ICT 2025","","Home screen @home-screen @smoke","",""
"","33899","Verify error messages for fields @regression","","Thu Mar 20 08:31:02 ICT 2025","passed","Thu Mar 20 08:31:36 ICT 2025","","Checkout - Payment info @payment-info","",""
"","18569","User could input personal info @smoke","","Thu Mar 20 08:32:01 ICT 2025","passed","Thu Mar 20 08:32:19 ICT 2025","","Checkout - Personal info @personal-info","",""
"","42981","User could input personal info @smoke","","Thu Mar 20 08:32:11 ICT 2025","passed","Thu Mar 20 08:32:54 ICT 2025","","Checkout - Personal info @personal-info","",""
"","20183","User could input payment info @smoke","","Thu Mar 20 08:31:30 ICT 2025","passed","Thu Mar 20 08:31:50 ICT 2025","","Checkout - Payment info @payment-info","",""
"","94","should load home screen","","Thu Mar 20 08:33:34 ICT 2025","passed","Thu Mar 20 08:33:34 ICT 2025","","Home screen @home-screen @smoke","",""
"","33790","User could edit personal and payment info @smoke","","Thu Mar 20 08:32:57 ICT 2025","passed","Thu Mar 20 08:33:31 ICT 2025","","Checkout - Summary @summary","",""
"","23366","User could input payment info @smoke","","Thu Mar 20 08:31:39 ICT 2025","passed","Thu Mar 20 08:32:02 ICT 2025","","Checkout - Payment info @payment-info","",""
"","31941","Verify error messages for fields @regression","","Thu Mar 20 08:30:53 ICT 2025","passed","Thu Mar 20 08:31:25 ICT 2025","","Checkout - Payment info @payment-info","",""
"","2749","Verify displayed errors @regression","","Thu Mar 20 08:32:05 ICT 2025","passed","Thu Mar 20 08:32:08 ICT 2025","","Checkout - Personal info @personal-info","",""
"","987","should load home screen","","Thu Mar 20 08:33:07 ICT 2025","passed","Thu Mar 20 08:33:08 ICT 2025","","Home screen @home-screen @smoke","",""
"","39320","User could edit personal and payment info @smoke","","Thu Mar 20 08:32:23 ICT 2025","passed","Thu Mar 20 08:33:03 ICT 2025","","Checkout - Summary @summary","",""
